Peter Parker, Clark Kent, Sue Storm, Scott Summers, Hal Jordan, Steve Rogers
Matt Murdock, Bruce Wayne, Sue Storm, Johnny Blaze, Tim Drake, Steve Rogers
Matt Murdock, Clark Kent, Sue Storm, Scott Summers, Tim Drake, Selina Kyle
Peter Parker, Clark Kent, Sue Storm, Scott Summers, Hal Jordan, Selina Kyle
Matt Murdock, Bruce Wayne, Jean Gray, Johnny Blaze, Tim Drake, Steve Rogers
Peter Parker, Clark Kent, Sue Storm, Johnny Blaze, Hal Jordan, Selina Kyle
Matt Murdock, Clark Kent, Jean Gray, Scott Summers, Tim Drake, Selina Kyle
Matt Murdock, Clark Kent, Jean Gray, Johnny Blaze, Hal Jordan, Selina Kyle
Peter Parker, Clark Kent, Sue Storm, Johnny Blaze, Tim Drake, Steve Rogers
Peter Parker, Clark Kent, Sue Storm, Scott Summers, Hal Jordan, Steve Rogers
Matt Murdock, Clark Kent, Jean Gray, Scott Summers, Tim Drake, Steve Rogers
Matt Murdock, Clark Kent, Sue Storm, Scott Summers, , Steve Rogers
Peter Parker, Clark Kent, Jean Gray, Scott Summers, Tim Drake, Selina Kyle
Peter Parker, Clark Kent, Sue Storm, Johnny Blaze, Hal Jordan, Steve Rogers
Peter Parker, Bruce Wayne, Sue Storm, Johnny Blaze, Hal Jordan, Steve Rogers
Peter Parker, Clark Kent, Jean Gray, Johnny Blaze, Tim Drake, Steve Rogers
Matt Murdock, Bruce Wayne, Jean Gray, Scott Summers, Hal Jordan, Steve Rogers
Matt Murdock, Clark Kent, Jean Gray, Johnny Blaze, Tim Drake, Steve Rogers
Matt Murdock, Bruce Wayne, Sue Storm, Scott Summers, Hal Jordan, Steve Rogers
Peter Parker, Clark Kent, Jean Gray, Scott Summers, Hal Jordan, Selina Kyle
Peter Parker, Bruce Wayne, Sue Storm, Johnny Blaze, Tim Drake, Steve Rogers
Peter Parker, Clark Kent, Sue Storm, Johnny Blaze, Hal Jordan, Steve Rogers
Matt Murdock, Bruce Wayne, Sue Storm, Johnny Blaze, , Steve Rogers
Matt Murdock, Clark Kent, Jean Gray, Scott Summers, Tim Drake, Selina Kyle
Peter Parker, Bruce Wayne, Jean Gray, Scott Summers, Tim Drake, Selina Kyle
Peter Parker, Bruce Wayne, Sue Storm, Scott Summers, Hal Jordan, Steve Rogers
Peter Parker, Clark Kent, Jean Gray, Scott Summers, Hal Jordan, Selina Kyle
Matt Murdock, Bruce Wayne, Sue Storm, Johnny Blaze, Tim Drake, Steve Rogers
Matt Murdock, Bruce Wayne, Sue Storm, Scott Summers, Tim Drake, Steve Rogers
Peter Parker, Bruce Wayne, Sue Storm, Scott Summers, Hal Jordan, Selina Kyle
Matt Murdock, Bruce Wayne, Jean Gray, Johnny Blaze, Tim Drake, Selina Kyle
Peter Parker, Bruce Wayne, Jean Gray, Johnny Blaze, Hal Jordan, , 
Peter Parker, Clark Kent, Jean Gray, Scott Summers, Hal Jordan, Selina Kyle
Matt Murdock, Bruce Wayne, Jean Gray, Johnny Blaze, , Selina Kyle
Matt Murdock, Clark Kent, Sue Storm, Johnny Blaze, Hal Jordan, Steve Rogers
Matt Murdock, Clark Kent, Sue Storm, Johnny Blaze, Tim Drake, Steve Rogers
Matt Murdock, Bruce Wayne, Sue Storm, Johnny Blaze, Hal Jordan, Steve Rogers
Peter Parker, Bruce Wayne, Jean Gray, Johnny Blaze, Tim Drake, Steve Rogers
Peter Parker, Clark Kent, Sue Storm, Johnny Blaze, Hal Jordan, Selina Kyle
